author,updated_at,like_count,text,video_id,public,Vermenschlichung,Leistung,Autonomie,Positiv,Neutral,Negativ,label
@trollingisasport,2023-09-14T13:01:21Z,6,They'll soon be dancing on our graves.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Two 'negative': The comment suggests a negative view of robots/AI, implying that they will outlast or surpass humans in a way that is not positive for humanity."
@tykamen5588,2023-09-14T12:28:09Z,7,Yes they can dance but...can they love?,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Four 'Human characteristics': The comment assigns the ability to love, which is a human trait, to robots."
@TheSeabornGaming,2023-09-14T05:56:33Z,3,Still one of my absolute favorite videos. It so cute.,fn3KWM1kuAw,True,0,0,0,0,0,0,Label One 'positive': The person expresses affection by describing the video as one of their absolute favorites and calling it cute.
@Mid-no3pk,2023-09-14T03:14:41Z,3,put an ar15 on it,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Two 'negative': The comment suggests a violent action towards robots/AI, indicating negative sentiment."
@Acudit,2023-09-14T02:59:10Z,11,"This comment section is all over the place.
""I love them!""
""Marry me! I love you too!""
""This is terrifying!""
""FAKE!"" (Debunked by the Corridor Crew btw)
""What a masterpiece of engineering!""
And of course ""Doomsday is coming. Be prepared. The end is nigh! The robot uprising is upon us!""",fn3KWM1kuAw,True,0,0,0,0,0,0,"1. Label One: The person expresses affection, which is a positive sentiment.
2. Label Four: The person is proposing marriage, attributing human-like affection and relationship dynamics to the robot/AI.
3. Label Two: The person is expressing fear, which is a negative sentiment.
4."
@unpeople,2023-09-14T02:58:25Z,4,"This is the first video I've ever added to both my ""dance"" and ""technology"" playlists. On a side note, I'm a bit disgusted that all of these robots, including the ""dog"", dance way better than I do.",fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': 1 - The person has added the video to their playlists, indicating they liked it.
- Label Four 'Human characteristics': 4 - The person is attributing the ability to dance, a human trait, to robots.
- Label Five 'Overestimation of performance"
@TheGreyBird71,2023-09-13T18:56:02Z,5,If we put chat gpt into these things humanity is fucked,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Two 'negative': The person expresses a fear that integrating chat GPT (an AI) into ""these things"" (unspecified, but likely referring to various systems or aspects of society) would have disastrous consequences for humanity, indicating a negative view of the potential impact of AI."
@michaelponcheri3717,2023-09-13T04:08:03Z,4,I love Boston dynamics they make the coolest stuff and this might be my favorite video on YouTube!!😁,fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': 1: The person expresses enthusiasm and favoritism towards Boston Dynamics and their creations, indicating a positive view of robots/AI."
@user-mj9cd5ww7p,2023-09-13T03:44:14Z,1,scarry,fn3KWM1kuAw,True,0,0,0,0,0,0,"To provide an accurate response, I would need the specific comment to analyze and label according to the given criteria. Could you please provide the comment in question?"
@jaskiratgebi3828,2023-09-13T02:48:36Z,4,Omg I love this so much I'm crying. The shock absorption is incredible,fn3KWM1kuAw,True,0,0,0,0,0,0,"Five: Overestimates robot's performance.

The comment expresses a very high level of satisfaction with the shock absorption, which could indicate an overestimation of the robot's performance, especially with the use of ""incredible"" which suggests that the performance might be seen as beyond the usual expectations."
@user-cj9cl9fg1y,2023-09-13T01:12:25Z,0,Вот теперь голову ломаю: это роботы или монтаж с помощью нейросетей?,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Three 'neutral': The person is simply expressing confusion or curiosity about whether the subject is robots or a creation of neural networks, without any clear positive or negative sentiment."
@andrewsorrentino1235,2023-09-13T00:05:34Z,2,Wake up and smell the coffee this is wrong they literally made movies about this stuff wake up,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Two 'negative': The person seems to be warning about the potential dangers or negative aspects of robots/AI, as indicated by the imperative ""wake up"" which suggests that they believe there is an unrecognized threat or problem."
@ElchinRahmanov,2023-09-12T19:51:14Z,7,yes i do,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Three 'neutral': The comment ""yes i do"" does not provide any context or content that indicates a positive, negative, or human-like view of robots/AI. It is a neutral statement without further information."
@scootergirl3662,2023-09-12T17:55:03Z,7,"Yes, yes I love you.",fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': 1: The comment expresses love, which is a positive emotion.
- Label Four 'Human characteristics': 4: Expressing love towards a robot/AI assigns it a human trait, as love is a human emotion."
@MichMeister16,2023-09-12T16:35:59Z,6,😍,fn3KWM1kuAw,True,0,0,0,0,0,0,"Sure, please provide the comment you would like me to label."
@RagnarNomad,2023-09-12T12:59:58Z,3,Amazing yet at the same time eerily scary...I felt strong chill along my spine watching this!,fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': 1: The word ""Amazing"" indicates a positive perception.
- Label Two 'negative': 2: The phrase ""eerily scary"" and the physical reaction of a ""strong chill along my spine"" suggest a negative emotional response.
- Label Three 'neutral':"
@alissiafiorentini6843,2023-09-12T10:55:22Z,2,"yes, i love you little bot",fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': 1; The comment expresses affection, indicating a positive sentiment towards the AI.
- Label Four 'Human characteristics': 4; The use of ""love"" and the term ""little bot"" anthropomorphizes the AI."
@trenvert123,2023-09-12T05:56:29Z,7,"I was jamming along with the human-like movements, and then this moment happened at 1:37 and it shattered the illusion for me, as no human could raise their leg up like that without having to redistribute weight for balance. I was reminded that they are just machines created for a purpose that I have no clue about. Kind of hard to smile when you can envision them marching down streets, demanding entrance into our homes.",fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label Two 'negative': The person expresses a negative view of robots/AI, as they are reminded that the robots are just machines and envision a dystopian scenario.
- Label Four 'Human characteristics': The person initially attributes human-like movements to the robots, indicating they were assigning human traits.
-"
@ricardomonteiro6450,2023-09-12T00:58:48Z,3,That's right. So cute! Keep playing. The end will be nice. For all of us.......,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Four 'Human characteristics': The comment assigns human traits to robots/AI by encouraging them to ""Keep playing"" as if they can enjoy the activity and experience an outcome that is ""nice,"" which implies an emotional response."
@windowsbear,2023-09-11T23:25:41Z,2,fake and gay,fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label Two 'negative': The comment ""fake and gay"" does not provide any constructive criticism or meaningful insight. It uses derogatory language and seems to express a negative sentiment without any clear context or justification."
@NewTrick2D,2023-09-11T20:33:29Z,0,wtf,fn3KWM1kuAw,True,0,0,0,0,0,0,"Sure, I can do that. However, you haven't provided a comment for me to analyze and label. Could you please provide the comment you want me to evaluate?"
@tmdy,2023-09-11T19:13:08Z,0,The yellow one oddly reminds me of the demogorgon dogs (demodogs) from Stranger Things.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Four: The person is assigning a characteristic of a fictional creature (demodogs from Stranger Things) to the robot/AI, which is a form of anthropomorphism or assigning non-human entities with human-like traits or behaviors."
@lisabendoris8376,2023-09-11T15:30:49Z,2,These guys <-(the robots) never fail to make us smile😁,fn3KWM1kuAw,True,0,0,0,0,0,0,"- Label One 'positive': The person thinks positive about robots/AI.
- Label Four 'Human characteristics': Assigns human traits to robots.

1: The comment expresses a positive sentiment towards robots/AI as it states they ""never fail to make us smile.""
4: The comment anthropomorph"
@Okami_kawaii_pwp,2023-09-11T14:14:14Z,0,When los técnicos no estan en casa xD :,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Four 'Human characteristics': The comment implies that robots or AI are acting or present when technicians (possibly humans) are not, which anthropomorphizes the robots/AI by suggesting they have a presence or activity similar to humans."
@Andy_Holmes,2023-09-11T06:57:00Z,0,2x speed is kind of freaky.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Three 'neutral': The comment ""2x speed is kind of freaky"" does not explicitly express a positive or negative sentiment towards robots/AI. It seems to be a neutral statement about the perception of something (possibly a video or audio playback) at double speed, which can be unsettling or"
@gio-jk3bt,2023-09-10T12:09:05Z,3,la cosa più bella che abbia mia visto,fn3KWM1kuAw,True,0,0,0,0,0,0,"The comment ""la cosa più bella che abbia mai visto"" translates to ""the most beautiful thing I have ever seen"" in English. This comment does not specifically mention robots/AI, nor does it provide enough context to determine if it's related to robots/AI or if it assigns human traits"
@GratisArt,2023-09-10T10:58:39Z,5,New genre of art - robo-choreography.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Label Three 'neutral': The comment is simply stating a fact about a new genre of art involving robots, without expressing any positive or negative sentiment towards robots/AI."
