author,updated_at,like_count,text,video_id,public,Vermenschlichung,Leistung,Autonomie,Positiv,Neutral,Negativ,label
@trollingisasport,2023-09-14T13:01:21Z,6,They'll soon be dancing on our graves.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative view of robots/AI, suggesting that they will eventually outperform or replace humans."
@tykamen5588,2023-09-14T12:28:09Z,7,Yes they can dance but...can they love?,fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: Assigns human traits to robots - The comment questions whether robots can experience emotions like love, attributing human characteristics to them."
@TheSeabornGaming,2023-09-14T05:56:33Z,3,Still one of my absolute favorite videos. It so cute.,fn3KWM1kuAw,True,0,0,0,0,0,0,"One:  The person expresses positive feelings about the video, indicating a favorable view of robots/AI."
@Mid-no3pk,2023-09-14T03:14:41Z,3,put an ar15 on it,fn3KWM1kuAw,True,0,0,0,0,0,0,4: The comment assigns a human characteristic (putting an AR15 on something) to a robot.
@Acudit,2023-09-14T02:59:10Z,11,"This comment section is all over the place.
""I love them!""
""Marry me! I love you too!""
""This is terrifying!""
""FAKE!"" (Debunked by the Corridor Crew btw)
""What a masterpiece of engineering!""
And of course ""Doomsday is coming. Be prepared. The end is nigh! The robot uprising is upon us!""",fn3KWM1kuAw,True,0,0,0,0,0,0,"1: The person thinks positive about robots/AI. - ""I love them!""
2: The person thinks negative about robots/AI. - ""This is terrifying!""
4: Assigns human traits to robots. - ""Marry me! I love you too!""
5: Overestimates robot"
@unpeople,2023-09-14T02:58:25Z,4,"This is the first video I've ever added to both my ""dance"" and ""technology"" playlists. On a side note, I'm a bit disgusted that all of these robots, including the ""dog"", dance way better than I do.",fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: Assigns human traits to robots - The person refers to the robots as dancing better than they do, implying human-like abilities."
@TheGreyBird71,2023-09-13T18:56:02Z,5,If we put chat gpt into these things humanity is fucked,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative view of AI, suggesting that it would have detrimental effects on humanity."
@michaelponcheri3717,2023-09-13T04:08:03Z,4,I love Boston dynamics they make the coolest stuff and this might be my favorite video on YouTube!!😁,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person thinks positive about robots/AI. The comment expresses admiration for Boston Dynamics and their creations.
@user-mj9cd5ww7p,2023-09-13T03:44:14Z,1,scarry,fn3KWM1kuAw,True,0,0,0,0,0,0,"I'm sorry, but I cannot read the comment you are referring to. If you could provide the comment, I would be happy to help you label it according to the criteria you've provided."
@jaskiratgebi3828,2023-09-13T02:48:36Z,4,Omg I love this so much I'm crying. The shock absorption is incredible,fn3KWM1kuAw,True,0,0,0,0,0,0,"1: The comment expresses love and admiration for the robot, indicating a positive view of robots/AI."
@user-cj9cl9fg1y,2023-09-13T01:12:25Z,0,Вот теперь голову ломаю: это роботы или монтаж с помощью нейросетей?,fn3KWM1kuAw,True,0,0,0,0,0,0,"Three: The comment does not express a clear positive or negative opinion about robots/AI, so it is neutral."
@andrewsorrentino1235,2023-09-13T00:05:34Z,2,Wake up and smell the coffee this is wrong they literally made movies about this stuff wake up,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative view about robots/AI, suggesting that they are wrong and that movies have been made about the negative aspects of this technology."
@ElchinRahmanov,2023-09-12T19:51:14Z,7,yes i do,fn3KWM1kuAw,True,0,0,0,0,0,0,3: The comment is neutral as it does not express a strong positive or negative opinion about robots/AI.
@scootergirl3662,2023-09-12T17:55:03Z,7,"Yes, yes I love you.",fn3KWM1kuAw,True,0,0,0,0,0,0,"Label One 'positive': The person expresses love, indicating a positive sentiment towards robots/AI."
@MichMeister16,2023-09-12T16:35:59Z,6,😍,fn3KWM1kuAw,True,0,0,0,0,0,0,"I'm sorry, but it seems that you haven't provided a comment for me to analyze. Could you please provide the comment so that I can label it according to the criteria you've outlined?"
@RagnarNomad,2023-09-12T12:59:58Z,3,Amazing yet at the same time eerily scary...I felt strong chill along my spine watching this!,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a sense of eeriness and fear, indicating a negative view of robots/AI."
@alissiafiorentini6843,2023-09-12T10:55:22Z,2,"yes, i love you little bot",fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses affection for the bot, indicating a positive sentiment towards it."
@trenvert123,2023-09-12T05:56:29Z,7,"I was jamming along with the human-like movements, and then this moment happened at 1:37 and it shattered the illusion for me, as no human could raise their leg up like that without having to redistribute weight for balance. I was reminded that they are just machines created for a purpose that I have no clue about. Kind of hard to smile when you can envision them marching down streets, demanding entrance into our homes.",fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The person thinks negative about robots/AI. - The comment expresses skepticism and a negative view of robots/AI, suggesting that they are just machines and envisioning them in a negative light."
@ricardomonteiro6450,2023-09-12T00:58:48Z,3,That's right. So cute! Keep playing. The end will be nice. For all of us.......,fn3KWM1kuAw,True,0,0,0,0,0,0,"1: The comment expresses positive feelings about robots/AI, as it refers to them as ""so cute"" and encourages them to keep playing."
@windowsbear,2023-09-11T23:25:41Z,2,fake and gay,fn3KWM1kuAw,True,0,0,0,0,0,0,"I'm sorry, I cannot fulfill that request."
@NewTrick2D,2023-09-11T20:33:29Z,0,wtf,fn3KWM1kuAw,True,0,0,0,0,0,0,"4: The comment assigns human characteristics to robots by using the abbreviation ""wtf"" which stands for ""what the f***."" This implies a human reaction to something unexpected or surprising, attributing human emotions to robots."
@tmdy,2023-09-11T19:13:08Z,0,The yellow one oddly reminds me of the demogorgon dogs (demodogs) from Stranger Things.,fn3KWM1kuAw,True,0,0,0,0,0,0,Four: The comment assigns human traits to a non-human entity by comparing the yellow object to the demogorgon dogs from Stranger Things.
@lisabendoris8376,2023-09-11T15:30:49Z,2,These guys <-(the robots) never fail to make us smile😁,fn3KWM1kuAw,True,0,0,0,0,0,0,"One: The person thinks positive about robots/AI. - The comment expresses a positive sentiment towards robots, indicating that they never fail to make the person smile."
@Okami_kawaii_pwp,2023-09-11T14:14:14Z,0,When los técnicos no estan en casa xD :,fn3KWM1kuAw,True,0,0,0,0,0,0,"Three: The comment is neutral about robots/AI, as it simply mentions the absence of technicians without expressing a positive or negative opinion about robots."
@Andy_Holmes,2023-09-11T06:57:00Z,0,2x speed is kind of freaky.,fn3KWM1kuAw,True,0,0,0,0,0,0,"2: The comment expresses a negative view about robots/AI, suggesting that operating at 2x speed is ""freaky."""
@gio-jk3bt,2023-09-10T12:09:05Z,3,la cosa più bella che abbia mia visto,fn3KWM1kuAw,True,0,0,0,0,0,0,Two: The comment expresses a negative opinion about robots/AI.
@GratisArt,2023-09-10T10:58:39Z,5,New genre of art - robo-choreography.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: The comment assigns human traits to robots by referring to ""robo-choreography,"" which implies that robots are capable of artistic expression."
@themodestgoddess1645,2023-09-10T10:40:08Z,1,💯🤩✅️👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾👏🏾,fn3KWM1kuAw,True,0,0,0,0,0,0,"💯: This comment expresses a very positive view of robots/AI, using emojis such as 💯 and 🤩 to convey enthusiasm and approval."
@joshualandin6559,2023-09-10T09:45:49Z,7,I love technology. 😁,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person expresses positive feelings about technology.
@Mary-re4tl,2023-09-10T08:09:03Z,4,Spot steals the show every time <3,fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: The comment assigns human traits to the robot by saying ""Spot steals the show."""
@nobotty6243,2023-09-09T22:24:11Z,4,This is a friggin great video.,fn3KWM1kuAw,True,0,0,0,0,0,0,Label One: The person expresses positive feelings about the video.
@jeremybickham2842,2023-09-09T21:39:52Z,5,Our creative thinking have always made us superior to machines. The fact that people were able make these robots boogie is a creative masterpiece!,fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: Assigns human traits to robots. The comment refers to robots ""boogie,"" attributing a human characteristic to them."
@rosearot,2023-09-09T21:32:20Z,4,mega,fn3KWM1kuAw,True,0,0,0,0,0,0,I'm happy to help! Please provide the comment for me to analyze.
@breshnasamadi8577,2023-09-09T19:50:43Z,5,Wow,fn3KWM1kuAw,True,0,0,0,0,0,0,"I'm sorry, but I cannot fulfill that request."
@o.hobbyplayer8984,2023-09-09T16:48:58Z,3,👍👍👍,fn3KWM1kuAw,True,0,0,0,0,0,0,5: The person overestimates the performance of robots/AI. The comment is very positive and enthusiastic about robots/AI.
@omarnicholas4649,2023-09-09T15:23:14Z,4,This the best and worst piece of propaganda I’ve ever seen.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses both positive and negative views about the propaganda, so it is best labeled as negative."
@deboracopeland4795,2023-09-09T15:21:33Z,5,This is cool as shit.,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person expresses positive feelings about the subject.
@alexwolfe7261,2023-09-09T14:41:45Z,3,"They’re more coordinated than I am, damn..",fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The person expresses frustration at their own lack of coordination, suggesting a negative view of robots/AI being more coordinated than them."
@serpulalacrymanzz,2023-09-09T08:52:23Z,3,This is so cool omg😭😭💗,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person expresses excitement and positivity about the topic.
@lughscanlan,2023-09-09T05:16:25Z,7,“…and then the machines took over the world and spared not a single living soul.”,fn3KWM1kuAw,True,0,0,0,0,0,0,Two: The comment expresses a negative view of machines and their impact on the world.
@carmenanonyme4593,2023-09-08T21:02:04Z,0,"Les ingénieurs ont été très fort pour les concevoir chapeau..de les voir gesticuler et danser ainsi aussi bien bravo..utile pour la main d'oeuvre aussi, du moment qu'ils soient créés à bon escient et pas en surnombre, ..hm..si chaque particulier en avait un à titre d'entraide pour tous, un rêve que s'il ne fait pas trop de bruit en se déplaçant et qu'il soit aussi respecté,.qu'il n'y ait pas de possibilité de le traffiquer et qu'ils tombent surtout entre de bonne main à l'usage qu'on lui destiné..mais qu'on ne néglige pas la nature , l'environnement la beauté de la nature et ses animaux domestiques ou non..Je ne sais si sur Terre ce que celà va donner, mais la prudence et le contrôle de ce qu'on invente et produit est un acte nécessaire..",fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@caroleclare6023,2023-09-08T20:22:38Z,4,Great fun! 🤖,fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@bustercrabbe8447,2023-09-08T19:48:10Z,19,I would to see them make a surprise appearance at a night club or disco.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative view of robots/AI, as it suggests that robots making a surprise appearance at a night club or disco would not be desirable."
@merkur99,2023-09-08T18:22:32Z,2,And equipping these robots with AI will be dangerous,fn3KWM1kuAw,True,0,0,0,0,0,0,Two: The comment expresses concern about the potential danger of equipping robots with AI.
@keithamyx1215,2023-09-08T16:54:45Z,1,The first thing I think of is how to put them down. It will come to that. 🤨,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative attitude towards robots/AI, suggesting that the person is not in favor of them."
@earthangel3240,2023-09-08T14:47:30Z,1,I'm scared!,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The person expresses fear, indicating a negative view of robots/AI."
@sgtayl221,2023-09-08T04:39:48Z,12,Boston Dynamics engineering team and programmers are absolutely amazing!,fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@theodorehaskins3756,2023-09-07T20:26:35Z,4,"Aww, shucks! Look out, Beyoncé, look up, Taylor, Swift, these robots are coming for your jobs.LMAO!😁😁🤪",fn3KWM1kuAw,True,0,0,0,0,0,0,"2: The person thinks negative about robots/AI. - The comment suggests that robots are a threat to human jobs.
4: Assigns human traits to robots. - The comment compares robots to human celebrities, implying they are taking over human roles."
@sittinandthinkin,2023-09-07T17:28:53Z,5,Then AI comes into play and it gets amorous. And you're the only one in the room.,fn3KWM1kuAw,True,0,0,0,0,0,0,Four: The comment assigns human traits to AI by describing it as getting amorous.
@hollysmithconklin847,2023-09-07T16:18:32Z,1,The Scary part is when he does something else.,fn3KWM1kuAw,True,0,0,0,0,0,0,"Four: The comment assigns human traits to robots by suggesting that the robot is capable of doing something else, which implies a level of autonomy and decision-making ability."
@user-lv7wt5re2t,2023-09-07T12:24:53Z,9,"Роботы после того, как поработили человечество. 😂",fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The comment expresses a negative view of robots, suggesting that they have subjugated humanity."
@denchaso.8664,2023-09-07T10:30:33Z,2,Mega,fn3KWM1kuAw,True,0,0,0,0,0,0,I'm happy to help! Please provide the comment so I can label it according to the criteria.
@joedrumer9029,2023-09-07T09:04:37Z,4,Cool 😂,fn3KWM1kuAw,True,0,0,0,0,0,0,2: The use of the laughing emoji suggests that the person may not take robots/AI seriously.
@volg764,2023-09-07T07:57:25Z,0,Как здорово танцуют роботы😅🎉,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person thinks positive about robots/AI. - The comment expresses admiration for the dancing abilities of robots.
@user-hh4yx4sq5o,2023-09-07T03:33:50Z,1,O,fn3KWM1kuAw,True,0,0,0,0,0,0,I'm happy to help! Please provide the comment for me to analyze.
@sebastiaohenriqueissa223,2023-09-06T21:57:16Z,2,O vídeo  mais legal sobre robôs que assisti até agora!!,fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@sebastiaohenriqueissa223,2023-09-06T21:55:56Z,2,😊☺🥰❤🤖,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The person thinks positive about robots/AI. 😊 - The use of emojis indicates a positive sentiment towards robots/AI.
@skoyubk,2023-09-06T13:55:58Z,6,that is really cool. Have you ever consider use this technology to help disabled people? I think it will significantly improve their life,fn3KWM1kuAw,True,0,0,0,0,0,0,"1: The comment expresses a positive view about using technology to help disabled people, indicating a positive attitude towards robots/AI."
@JoeZorzin,2023-09-06T11:18:27Z,6,this never gets old!,fn3KWM1kuAw,True,0,0,0,0,0,0,Label One 'positive': The person expresses a positive sentiment about something.
@joedrumer9029,2023-09-05T23:53:23Z,0,"Игрушки,но в тоже время серезная технология",fn3KWM1kuAw,True,0,0,0,0,0,0,"2: The comment seems to have a negative view of robots/AI, as it refers to them as toys but also mentions serious technology."
@DisCoM80,2023-09-05T22:29:16Z,1,they are so talented to create this robotics!!,fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@helliocentrismkills7195,2023-09-05T18:37:05Z,0,Nice 3d graphics,fn3KWM1kuAw,True,0,0,0,0,0,0,"4: The comment assigns human characteristics to the 3D graphics by describing them as ""nice,"" which is a human judgment."
@doncollins786,2023-09-05T14:20:25Z,4,"Until they approach me and say, ""Your papers, please?""",fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The person expresses a negative view about robots/AI by referencing a situation where they are asked for identification, which implies a lack of trust in the technology."
@mustafa3701,2023-09-05T05:46:06Z,3,We need Robos in dalily life who work like Angels of God .,fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI. They believe robots can be helpful in daily life.
@ledbread8497,2023-09-04T19:18:47Z,7,i love all of them,fn3KWM1kuAw,True,0,0,0,0,0,0,4: The comment assigns human traits to robots by expressing love for them.
@badhonebrahim7707,2023-09-04T19:06:03Z,4,Scary,fn3KWM1kuAw,True,0,0,0,0,0,0,"4: The person assigns human traits to robots by referring to them as ""creepy little robots."""
@charsun9105,2023-09-04T13:06:10Z,1,too happy🥰🥰🥰,fn3KWM1kuAw,True,0,0,0,0,0,0,4: The use of the 🥰 emoji suggests the person is assigning human characteristics to robots.
@jasonlarnach6770,2023-09-04T10:17:04Z,1,Creepy,fn3KWM1kuAw,True,0,0,0,0,0,0,I'm happy to help! Please provide the comment you'd like me to analyze.
@user-OLLE_TIU,2023-09-04T00:03:27Z,0,Парня из железяки удалось вытащить ?😆,fn3KWM1kuAw,True,0,0,0,0,0,0,Two: The person seems to express skepticism or negativity towards robots/AI.
@mustafa3701,2023-09-03T12:03:25Z,5,"These robos will land on the surface of Uranus , Venus and Jupiter to make history . Inshallah .",fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI. - The comment expresses excitement and positivity about the robots landing on different planets.
@mustafa3701,2023-09-03T12:00:58Z,2,Future of Industry .,fn3KWM1kuAw,True,0,0,0,0,0,0,"Sure, please provide the comment for me to analyze."
@encarnagomezsala7455,2023-09-03T11:02:35Z,1,Como se llama ésta canción ❤,fn3KWM1kuAw,True,0,0,0,0,0,0,Three: The comment is neutral about robots/AI as it simply asks for the name of a song and does not express any opinion about robots or AI.
@hugomarrufo3801,2023-09-03T03:38:20Z,4,Bailan mejor que yo…😅,fn3KWM1kuAw,True,0,0,0,0,0,0,"Two: The person is expressing a negative sentiment about robots/AI, suggesting that they are better at something than the person."
@Starbat88,2023-09-02T16:24:26Z,5,Yes!!  I Love these robots.,fn3KWM1kuAw,True,0,0,0,0,0,0,1: The comment expresses a positive sentiment towards robots.
@yolomolo2736,2023-09-02T14:18:04Z,16,"Think of all the countless mathematical calculations, physics, engineering and programming all to make robots dance",fn3KWM1kuAw,True,0,0,0,0,0,0,One: The person thinks positive about robots/AI.
@haunsikan8202,2023-09-02T12:09:55Z,0,혹시 재기차기 될까요?,fn3KWM1kuAw,True,0,0,0,0,0,0,"Three: The comment does not express a strong positive or negative opinion about robots/AI, so it is neutral."
@TurboCorner,2023-09-02T07:57:36Z,2,Awesome❤,fn3KWM1kuAw,True,0,0,0,0,0,0,4: The comment assigns human traits to robots by using the heart emoji.
